node,community,degree_centrality,strength_total,in_degree,out_degree,strength_in,strength_out,betweenness,closeness,pagerank,eigenvector
traficogt,0,0.7556528081692195,6302.0,1891,191,5622.0,698.0,0.9892739562296671,1.5312499796353511,0.14777249763109443,0.6848468537131428
barevalodeleon,0,0.11925601750547046,474.0,327,0,474.0,0.0,0.00882902822145795,1.3934873356467,0.03196022466861026,0.07365586734564854
cc_guatemala,1,0.02954048140043764,114.0,81,0,114.0,0.0,6.985263887303345e-06,1.2991243244905792,0.02078361375629489,0.02639102969795892
lahoragt,9,0.03391684901531729,311.0,91,2,309.0,2.0,0.012392798374770812,1.5008504504738238,0.01736262027836427,0.194092050679321
mpguatemala,1,0.03792851932895697,146.0,103,1,145.0,1.0,2.6876634385433825e-06,1.2575830532703547,0.016155599316979897,0.03053301032719151
drgiammattei,14,0.04850474106491612,187.0,132,1,185.0,2.0,1.86717212479664e-05,1.467492079045709,0.013719605190161448,0.0897253997178854
prensacomunitar,14,0.047775346462436176,330.0,123,8,322.0,8.0,0.023239870946030028,1.4738180091876842,0.011930071132470925,0.1219906853712377
tseguatemala,36,0.008023340627279359,24.0,22,0,24.0,0.0,6.209123455380751e-07,0.8576251892733942,0.01038693377521222,0.0029416520302773066
mmendoza_gt,1,0.041940189642596645,206.0,110,5,201.0,5.0,0.014631222861141019,1.3490436108815784,0.005602283704598469,0.040180813847840294
manfredoguate,1,0.02188183807439825,137.0,57,3,133.0,4.0,0.010193074467880335,1.3992029327449589,0.005054684427953729,0.048256437409649584
amilcarmontejo,11,0.033187454412837346,225.0,90,2,224.0,3.0,0.010777232028081238,1.4345791156448824,0.0046692491613094834,0.025087033440691298
agenciaocote,21,0.021517140773158278,115.0,57,3,112.0,4.0,0.006561721836059093,1.2102352343042009,0.00441801589380441,0.023154949321047915
aztecanoticiagt,11,0.010576221735959153,77.0,26,3,71.0,6.0,0.005830109689487945,1.4182816229968034,0.004332021531393155,0.04995405964118777
muniguate,11,0.024070021881838075,103.0,66,0,103.0,0.0,0.0029569619929796106,1.244737074072029,0.004290100863187564,0.00876271186646857
jeanellydvg,6,0.010576221735959153,46.0,29,0,46.0,0.0,0.0014585230996689384,1.1821940755322278,0.004144332358070772,0.012199795519344282
quorumgt,6,0.020058351568198397,117.0,52,3,106.0,11.0,0.011643157594738144,1.3605505850878927,0.0041004841892839415,0.033471697544328445
jlfont001,36,0.022975929978118162,132.0,51,12,115.0,17.0,0.008006442941304358,1.3909057849184743,0.00395709849443532,0.04778611672883301
factor4_gt,1,0.020423048869438368,130.0,43,13,111.0,19.0,0.007277509587995387,1.3818865705532144,0.003799099878485445,0.047067193058896964
samuel_pz,7,0.020058351568198397,82.0,55,0,82.0,0.0,0.005105185655895878,1.0811005623928787,0.003632953273031513,0.009710338313718078
emisorasunidas,7,0.019328956965718454,103.0,51,2,101.0,2.0,0.005829391205202394,1.3480114036504076,0.003376299467182589,0.03413508640516783
congresoguate,1,0.016776075857038657,54.0,46,0,54.0,0.0,2.6610529094488935e-07,1.097317698058206,0.0033421425945043396,0.011466479332235898
republicagt,0,0.002552881108679796,26.0,5,2,24.0,2.0,0.0021873854915669903,1.3978161228916046,0.003289615998583717,0.033859323501122716
noficciongt,24,0.013858497447118891,76.0,34,4,71.0,5.0,0.008008749187159214,1.3104858199521385,0.003287481028273595,0.022427377525769114
ricigt1,9,0.023340627279358133,153.0,64,0,153.0,0.0,0.005104830848841285,1.3079723066342197,0.0032398203169798135,0.03998538126121282
cacifguatemala,0,0.016046681254558718,56.0,41,3,53.0,3.0,0.0007296607077708866,1.285668884428085,0.003177699336051024,0.021609541009822337
sandra_jovelp,6,0.005835156819839533,17.0,16,0,17.0,0.0,0.0,0.8675767669063518,0.003079005322925607,0.005976643323851071
plazapublicagt,14,0.014223194748358862,80.0,37,2,76.0,4.0,0.0021937276676678432,1.3291190802885278,0.003046317526700948,0.03533247696285894
ep_investiga,37,0.0087527352297593,57.0,19,5,50.0,7.0,0.0007305920762891937,1.380678823886107,0.0030284090519217743,0.032683085307285635
dorjaen,11,0.0007293946024799417,4.0,1,2,2.0,4.0,0.0,0.8677398698674128,0.0028179693172952587,0.004359709790107935
prensa_libre,0,0.010211524434719184,59.0,28,0,59.0,0.0,0.0007442698882437612,1.3589703463474436,0.002769464947615052,0.031309744052337045
alvaroarzue,21,0.00911743253099927,31.0,24,1,30.0,1.0,3.99157936417334e-07,1.2567392997237106,0.002733380517402121,0.016734761485636726
msemillagt,36,0.021152443471918306,80.0,57,1,79.0,1.0,0.0007314347430438526,1.1834935845127617,0.0027149922373510098,0.021745868831270738
statedept,0,0.0040116703136396795,22.0,11,0,22.0,0.0,0.0,1.3581358046376126,0.002572087088959367,0.025828783202667
acguatemala,14,0.0014587892049598833,5.0,4,0,5.0,0.0,0.0,0.740026100377147,0.002507843994685858,0.0007043354670206902
darwinhk,16,0.009846827133479213,65.0,27,0,65.0,0.0,0.005101105374768057,1.2766982344789262,0.002404258263142965,0.028494740999685433
abbffon,1,0.00036469730123997083,2.0,1,0,2.0,0.0,0.0,0.8233771499714513,0.0023074421930985,0.0002962656974505712
pncdeguatemala,11,0.01276440554339898,41.0,35,0,41.0,0.0,0.0007292615498344692,1.0344279950840356,0.002290421054725813,0.0027556679641210433
guatemalagob,4,0.015681983953318747,56.0,43,0,56.0,0.0,5.455158464370231e-06,1.221340026126721,0.0022350998762583727,0.016017399706258355
_chrisguti,21,0.00437636761487965,13.0,12,0,13.0,0.0,0.0,0.7540890694468467,0.0022309442150178285,0.0014167196143025718
ufmedu,25,0.0036469730123997084,11.0,10,0,11.0,0.0,0.0,0.7134052882511273,0.0021950480032736567,0.0005675089261980377
concriteriogt,36,0.010940919037199124,36.0,30,0,36.0,0.0,0.0,0.9507569907238448,0.0021777810405261334,0.005314270622748134
hshetemul,7,0.01787016776075857,106.0,49,0,106.0,0.0,0.005103810778559329,1.2137618597010857,0.0020847821684456835,0.023187212057280283
davidck7,21,0.011305616338439095,32.0,31,1,32.0,1.0,0.0,0.8615302511928845,0.002062864136512771,0.0054145454923174635
marcoscahuex___,11,0.00036469730123997083,3.0,1,0,3.0,0.0,0.0,0.9631217293340683,0.001997845391136866,0.0004600141435210378
ferdymontepeque,14,0.0036469730123997084,18.0,10,0,18.0,0.0,3.24648454952765e-05,0.8404099101130691,0.001896189716656081,0.003305079713671945
justiciayagt,13,0.007293946024799417,37.0,20,0,37.0,0.0,0.0,1.1079305461159152,0.001865131829891641,0.011888187739004087
lanegrisgt,24,0.007658643326039387,34.0,19,4,34.0,5.0,3.259789814074895e-05,0.8398576544851952,0.0018232657744579688,0.0032054916778930308
rmendezruiz,0,0.0032822757111597373,16.0,9,0,16.0,0.0,0.0,1.2853965118895256,0.0017984753407027526,0.017146326973212174
jovannagarcon,21,0.006929248723559446,35.0,19,0,35.0,0.0,0.0029176671116834148,1.0159090286730794,0.0017161236221124251,0.007245212299352502
amaldonadogt,13,0.0018234865061998542,5.0,5,0,5.0,0.0,0.0,0.5480002958142891,0.0017087658282037865,0.00011839062900695057
noel_solis,7,0.0014587892049598833,4.0,4,0,4.0,0.0,0.0,0.5744083578876444,0.0016989857068406306,0.00012608195642247152
ejercito_gt,14,0.0029175784099197666,8.0,8,0,8.0,0.0,0.0,0.596354864038604,0.0016911129197985117,0.0007059302940218681
soy_502,7,0.011305616338439095,69.0,31,0,69.0,0.0,0.0007308581815801385,1.3398294822628223,0.0016778087620535507,0.021443040486769115
alex_balsells,14,0.013858497447118891,82.0,36,2,80.0,2.0,0.0007323217606803355,1.2761983764973335,0.001673263260729011,0.02540498754916336
bensywulka,0,0.0018234865061998542,12.0,5,0,12.0,0.0,0.0,1.2853211951781407,0.0016706395007263367,0.017985043494576736
ojguatemala,1,0.007293946024799417,25.0,20,0,25.0,0.0,8.870176364829645e-08,0.9410010010643273,0.001668278054685614,0.00844985275725916
bernardocaal2,1,0.002188183807439825,12.0,6,0,12.0,0.0,0.0,1.0970491738073211,0.0016616340490175298,0.00595689044936425
arlettg_,11,0.0036469730123997084,11.0,10,0,11.0,0.0,0.0,0.8302114997253169,0.0016325135255042822,0.0005776228780768828
rafa_mal0072,14,0.008388037928519328,50.0,19,4,46.0,4.0,0.0043698480352515005,1.17361742764386,0.0016209857621339034,0.014919666056554946
guss_marro,14,0.0087527352297593,57.0,24,2,59.0,3.0,0.0014586561523144109,1.2115067199120357,0.0016167725050430578,0.014647922311016017
wergabriel,25,0.00911743253099927,52.0,23,2,50.0,2.0,0.0036448441700721495,1.109631166829691,0.001612597098575948,0.012994675470238533
bancadasemilla,6,0.009846827133479213,41.0,27,0,41.0,0.0,0.0007281971286706896,1.1644213662558744,0.001611484064750981,0.007677110267115206
sonny_figueroa,14,0.01276440554339898,61.0,32,3,58.0,3.0,0.005826508397883825,1.2129102781836634,0.0016082924206075907,0.014842481387348604
