community,size,sample_members,total_messages_in_community,top_keywords
0,904,"traficogt,barevalodeleon,pmt_villanueva,dbeatrizmb,luisficarpediem,contreras_tani,prensa_libre,elmerlandazuri7,jul_sando_1962,sandratorresgua",1592,"[[""traficogt"", 779], [""si"", 187], [""barevalodeleon"", 133], [""co"", 132], [""https co"", 132], [""https"", 132], [""solo"", 94], [""traficogt barevalodeleon"", 78], [""mp"", 62], [""pueblo"", 61], [""corruptos"", 59], [""guatemala"", 58], [""ser"", 56], [""ahora"", 49], [""debe"", 45], [""hacer"", 43], [""gracias"", 43], [""golpe"", 42], [""puede"", 42], [""país"", 41], [""cc"", 37], [""va"", 36], [""drgiammattei"", 35], [""mal"", 35], [""así"", 35]]"
1,276,"cc_guatemala,mmendoza_gt,mpguatemala,bernardocaal2,ojguatemala,cedr2506,rafaeldelaguil8,usembassyguate,oea_oficial,congresoguate",244,"[[""traficogt"", 239], [""https"", 41], [""co"", 41], [""https co"", 41], [""mmendoza_gt"", 32], [""mpguatemala"", 26], [""mmendoza_gt traficogt"", 23], [""si"", 19], [""pueblo"", 16], [""lahoragt"", 16], [""guatemala"", 15], [""factor4_gt traficogt"", 15], [""factor4_gt"", 15], [""corruptos"", 15], [""traficogt https"", 14], [""lahoragt traficogt"", 14], [""manfredoguate traficogt"", 12], [""manfredoguate"", 12], [""cc_guatemala"", 12], [""mildred_gaitan"", 11], [""drgiammattei"", 11], [""traficogt mpguatemala"", 11], [""corrupto"", 10], [""ser"", 10], [""congresoguate"", 10]]"
14,227,"prensacomunitar,alex_balsells,plazapublicagt,sonny_figueroa,bancoindustrial,pastorajcastro,kiluluki,batallonjalapa,santipalomov,onlyenmiguate",253,"[[""traficogt"", 244], [""prensacomunitar"", 36], [""prensacomunitar traficogt"", 34], [""si"", 27], [""barevalodeleon"", 23], [""traficogt barevalodeleon"", 14], [""así"", 14], [""drgiammattei"", 13], [""sonny_figueroa"", 13], [""ustedes"", 13], [""usted"", 12], [""mierda"", 12], [""https co"", 11], [""presidente"", 11], [""pueblo"", 11], [""solo"", 11], [""https"", 11], [""gobierno"", 11], [""co"", 11], [""gente"", 10], [""ahora"", 10], [""cc_guatemala"", 10], [""alex_balsells"", 9], [""plazapublicagt"", 9], [""lahoragt"", 9]]"
11,215,"animaldgalaccia,pncdeguatemala,amilcarmontejo,estaciondoblea,aztecanoticiagt,diputadojp,impactonoticigt,transito_mixco,dgtguate,infotransitogt",131,"[[""traficogt"", 134], [""https"", 75], [""co"", 75], [""https co"", 75], [""amilcarmontejo"", 62], [""muniguate"", 33], [""traficogt https"", 30], [""amilcarmontejo traficogt"", 20], [""zona"", 18], [""traficogt amilcarmontejo"", 16], [""si"", 15], [""calle"", 15], [""tráfico"", 14], [""pmtmuniguate"", 14], [""guatemala"", 11], [""rquinonezl"", 10], [""muniguate traficogt"", 9], [""carril"", 9], [""11"", 9], [""pncdeguatemala"", 9], [""solo"", 8], [""así"", 8], [""ruta"", 8], [""san"", 8], [""amilcarmontejo muniguate"", 8]]"
9,150,"diegoedeleon,lahoragt,oco_motora,ricigt1,mariochiu2,radiopuntogt,ldubon63,esta_busqueda,erickpinaleshou,papaabumario",208,"[[""traficogt"", 125], [""https co"", 95], [""https"", 95], [""co"", 95], [""lh"", 32], [""lahoragt"", 23], [""lahoragt traficogt"", 22], [""detalles"", 22], [""ahoralh"", 19], [""si"", 16], [""ricigt1"", 16], [""lh https"", 16], [""mp"", 16], [""guatemala"", 15], [""ricigt1 traficogt"", 15], [""josé"", 13], [""aquí"", 12], [""josé orozco"", 10], [""dice"", 10], [""solo"", 10], [""orozco"", 10], [""ser"", 9], [""orozco lh"", 9], [""conoce"", 9], [""nota https"", 9]]"
36,131,"_ojoconmipisto,jlfont001,cbastiancruz,alianzargt,julioca75923080,oracintfaith,jsandoval1982,pavelvga,bermejogt,pfacticos",114,"[[""traficogt"", 98], [""https"", 25], [""co"", 25], [""https co"", 25], [""jlfont001"", 13], [""jlfont001 traficogt"", 10], [""thelmaaldana"", 10], [""msemillagt"", 8], [""barevalodeleon"", 8], [""tseguatemala"", 8], [""traficogt tseguatemala"", 7], [""cc_guatemala"", 7], [""concriteriogt"", 7], [""drgiammattei"", 6], [""traficogt barevalodeleon"", 6], [""traficogt cc_guatemala"", 6], [""norma"", 5], [""ricigt1"", 5], [""ley"", 5], [""gobierno"", 4], [""cc"", 4], [""marielp82893334"", 4], [""manfredoguate"", 4], [""presidente"", 4], [""marielp82893334 traficogt"", 4]]"
21,124,"monymmorales,partidoune,carlosrkestler,jpablo998af,dsepet,alvaroarzue,luciourquidez,jovannagarcon,marioquan,ottoareyesestr2",80,"[[""traficogt"", 66], [""agenciaocote"", 11], [""agenciaocote traficogt"", 11], [""https co"", 10], [""https"", 10], [""co"", 10], [""traficogt davidck7"", 6], [""si"", 6], [""monymmorales traficogt"", 6], [""monymmorales"", 6], [""davidck7"", 6], [""infiltrados"", 5], [""pueblo"", 5], [""grupo"", 5], [""solo"", 4], [""carlosrkestler traficogt"", 4], [""corrupción"", 4], [""drgiammattei"", 4], [""guatemala"", 4], [""dinero"", 4], [""carlosrkestler"", 4], [""alvaroarzue"", 4], [""quieren"", 3], [""personas"", 3], [""va"", 3]]"
7,107,"emisorasunidas,cubreserva,soy_502,conapgt,guatevision_tv,pattyo502,karinapazgt,josechic86,vecinosz16,isapaiz_",51,"[[""traficogt"", 32], [""https co"", 21], [""https"", 21], [""co"", 21], [""samuel_pz"", 8], [""hshetemul traficogt"", 8], [""hshetemul"", 8], [""samuel_pz traficogt"", 7], [""momento"", 5], [""emisorasunidas"", 5], [""mp"", 5], [""ahora"", 5], [""solo"", 4], [""guatevision_tv"", 4], [""ojalá"", 3], [""perdieron"", 3], [""puede"", 3], [""país"", 3], [""santa"", 3], [""ustedes"", 3], [""guatemala"", 3], [""gracias"", 3], [""giammattei"", 3], [""familia"", 3], [""dinero"", 3]]"
22,69,"arkmazariegos,sankevins,vozdeltuit,guatevisible,theclowbala,freefigth,fraukefranz,extasisvgames,alberthmenendez,fresita20200",72,"[[""traficogt"", 63], [""si"", 12], [""jmenkos traficogt"", 10], [""jmenkos"", 10], [""https"", 8], [""https co"", 8], [""co"", 8], [""elenamotta_"", 7], [""joditocruz"", 7], [""barevalodeleon"", 6], [""laurafmarroquin"", 6], [""pueblo"", 5], [""drgiammattei"", 5], [""rochaeta"", 4], [""rochaeta elenamotta_"", 4], [""merce_moon duvaliercasta"", 4], [""merce_moon"", 4], [""ley"", 4], [""joditocruz merce_moon"", 4], [""elenamotta_ joditocruz"", 4], [""traficogt drgiammattei"", 4], [""duvaliercasta laurafmarroquin"", 4], [""duvaliercasta"", 4], [""traficogt rochaeta"", 4], [""proyecto"", 3]]"
24,67,"noficciongt,csarmolbar,purorojoybarca,asierandres,sigridrm,rosario96501677,diegoespana_,sergio27101799,johansondev,lanegrisgt",47,"[[""traficogt"", 34], [""co"", 13], [""https co"", 12], [""https"", 12], [""noficciongt"", 9], [""ley"", 7], [""noficciongt traficogt"", 7], [""lanegrisgt traficogt"", 6], [""lanegrisgt"", 6], [""congreso"", 6], [""presidente"", 5], [""diputados"", 5], [""_guisii"", 5], [""ahora"", 5], [""líder"", 4], [""jgramajo_soy502"", 4], [""jgramajo_soy502 traficogt"", 4], [""giammattei"", 4], [""fiscal"", 4], [""drgiammattei"", 4], [""minutos"", 3], [""lineasfrescas traficogt"", 3], [""si"", 3], [""mmendoza_gt"", 3], [""millones"", 3]]"
