community,size,internal_edges,internal_weight,cut_edges,cut_weight,density_internal,volume_strength,isolation_ratio,sample_top_nodes
26,20,19,20.0,1,1.0,0.1,41.0,0.9523809523809523,"jalenvelaz46026,milesturne70424,joshparker94,syl_guru,gucciwinterbear,lucoates2,filthindabeauty,claudemir0911"
29,4,3,4.0,1,1.0,0.5,9.0,0.8,"allandicen,desdexibalba,tacticayseggt,don_kamu"
5,3,2,3.0,1,1.0,0.6666666666666666,7.0,0.75,"7ab3e6a4505c45d,alvarotopis,mixco"
20,10,9,10.0,4,4.0,0.2,24.0,0.7142857142857143,"reporteroukny,vidalejo3,baruzgt,kitapenasbb,edurodriguezg,missguatelatina,mvlanuevaeramb,victorxoriginal"
39,3,3,5.0,2,2.0,1.0,12.0,0.7142857142857143,"henryfit5,soycristiannoe,lees_gabii"
43,3,2,2.0,1,1.0,0.6666666666666666,5.0,0.6666666666666666,"wofwofgtt,obrasmuniguate,denunciasmuni"
17,2,1,4.0,1,2.0,1.0,10.0,0.6666666666666666,"munivcanales,efonseca2841"
41,2,1,2.0,1,1.0,1.0,5.0,0.6666666666666666,"stereo100xela,blanknita_24"
42,2,1,2.0,1,1.0,1.0,5.0,0.6666666666666666,"m_artis,benitoc67601310"
3,2,1,2.0,1,1.0,1.0,5.0,0.6666666666666666,"grismds,laprensa_deoc"
10,2,1,4.0,1,2.0,1.0,10.0,0.6666666666666666,"edwinquiran502,rodrigokestler"
12,2,1,2.0,1,1.0,1.0,5.0,0.6666666666666666,"vicmaldonados,franas91"
15,2,1,2.0,1,1.0,1.0,5.0,0.6666666666666666,"figueroarlette,ximenabarrera__"
30,2,1,2.0,1,1.0,1.0,5.0,0.6666666666666666,"airborn21k,franmandr"
31,2,1,2.0,1,1.0,1.0,5.0,0.6666666666666666,"yvassaux,emetra"
33,2,1,2.0,1,1.0,1.0,5.0,0.6666666666666666,"elakademicista,jdtolland2004"
35,2,1,2.0,1,1.0,1.0,5.0,0.6666666666666666,"pochemuchka_soy,joemayros"
38,2,1,2.0,1,1.0,1.0,5.0,0.6666666666666666,"harriswhitbeck,tanchita21"
34,2,1,3.0,1,2.0,1.0,8.0,0.6,"tecoasturias,mfgalan"
11,215,396,715.0,353,593.0,0.017213649206694197,2023.0,0.5466360856269113,"amilcarmontejo,alejandro2024gt,muniguate,florydeprez2,aztecanoticiagt,guillepefe2012,pmtmuniguate,rquinonezl"
40,3,3,7.0,3,6.0,1.0,20.0,0.5384615384615384,"robrimola,rodanleu69,chapinito90"
28,2,1,2.0,2,2.0,1.0,6.0,0.5,"pirir9pirir,craxkerr2"
18,2,1,2.0,2,2.0,1.0,6.0,0.5,"luchofcb80,h_fabiola"
19,2,1,1.0,1,1.0,1.0,3.0,0.5,"jennygt100,meridagary"
23,2,1,2.0,2,2.0,1.0,6.0,0.5,"sanchezcastejon,trollitogt"
32,2,1,2.0,2,2.0,1.0,6.0,0.5,"mamezquitam,mike051270"
8,8,7,14.0,9,15.0,0.25,43.0,0.4827586206896552,"jpablocast,mundocrema,sebastorresaz,y_piramide,justicia_guate_,justderekgt,intuitscreto,andreslope87296"
7,107,252,455.0,316,532.0,0.044436607300299774,1442.0,0.46099290780141844,"cubreserva,nilrilesor,emisorasunidas,hshetemul,samuel_pz,guatevision_tv,conapgt,inabguatemala"
27,26,35,53.0,45,62.0,0.1076923076923077,168.0,0.4608695652173913,"kennethmz,josecsagt,irismar78612428,paw_green,petrogustavo,hedis28,spaceship__5,s_c_c_84"
4,48,96,130.0,120,159.0,0.0851063829787234,419.0,0.44982698961937717,"guatemalagob,piero_coen,jojosamgt,fjimenezmingob,erwin_fern84019,mingobguate,rivera_bambu,rudytejedagt"
0,904,1319,3605.0,1806,4445.0,0.0032316075226139027,11655.0,0.44782608695652176,"traficogt,barevalodeleon,angeln8,chofito63569841,hellboy17oc,arthurshp_wf,byron96324753,yani_wen"
24,67,79,152.0,137,229.0,0.03573043871551334,533.0,0.3989501312335958,"noficciongt,lanegrisgt,_guisii,csarmolbar,lineasfrescas,jgramajo_soy502,rosario96501677,purorojoybarca"
13,25,37,66.0,56,110.0,0.12333333333333334,242.0,0.375,"papxigua,justiciayagt,91072dff5a5a4f1,carlos_ruano_,andream77rl,ottochacon5,moyimozo,se_cardona3"
37,51,64,142.0,113,252.0,0.05019607843137255,536.0,0.3604060913705584,"domingo94096837,javi_sudo,doloresflo23,ep_investiga,haverramirez,gloriaanneliess,maribelmar51429,cc_abogado"
6,50,77,132.0,150,242.0,0.06285714285714286,506.0,0.35294117647058826,"quorumgt,jeanellydvg,foppaguate,innovacion30001,jdouglas182,florespolo76g,castillogust,camposser"
21,124,168,286.0,324,569.0,0.022029897718332022,1141.0,0.3345029239766082,"agenciaocote,monymmorales,carlosrkestler,jovannagarcon,anongtreloaded,marioquan,davidck7,anameri71677244"
1,276,484,804.0,877,1622.0,0.012753623188405797,3230.0,0.3314097279472383,"mildred_gaitan,mmendoza_gt,manfredoguate,factor4_gt,mpguatemala,cc_guatemala,estelar21362549,jczamora"
25,60,75,123.0,155,252.0,0.0423728813559322,498.0,0.328,"wergabriel,vicentecarrera_,luisvonahn,alterlego502,claudiapazypaz,matiasysimon,bufeprofesional,ufmedu"
44,44,57,91.0,109,195.0,0.06025369978858351,377.0,0.3181818181818182,"marieloscm,gersonbarrera,infogt_noticias,marjorievonahn,brendah2o66,johnnyhurtarte,empagua_gt,_kimberly_lopez"
22,69,99,158.0,176,343.0,0.04219948849104859,659.0,0.3153692614770459,"jmenkos,giovanottigt,wamado04,extasisvgames,vozdeltuit,joditocruz,elenamotta_,elsuperenterado"
16,31,31,61.0,64,137.0,0.06666666666666667,259.0,0.30808080808080807,"darwinhk,licopatron,porqtendenciagt,edgar_ortizgt,lunacrescentegt,drmarcopaez,doccoke77,jotiaalvarez"
36,131,215,376.0,476,882.0,0.02524955960070464,1634.0,0.2988871224165342,"iovittor,jlfont001,msemillagt,concriteriogt,lajudaica,thelmaaldana,cmendeza,erwinrobles2"
2,48,63,104.0,131,245.0,0.05585106382978723,453.0,0.2979942693409742,"mariacdeleon1,karinherreravp,alvasol_,julioajordan,comunicaverte_,bernardosilvagt,moratayayoel,banthonycc"
14,227,353,677.0,768,1649.0,0.013761646719426143,3003.0,0.29105760963026656,"prensacomunitar,batallonjalapa,plazapublicagt,sonny_figueroa,alex_balsells,drgiammattei,rafa_mal0072,oemc311"
9,150,168,355.0,430,1024.0,0.015033557046979866,1734.0,0.2574329224075417,"lahoragt,ricigt1,ldubon63,papaabumario,roanchi2,oco_motora,miss_pattygt,erosan3edsa"
