user,pct_pos,pct_neu,pct_neg,pct_na,n
CaspalViare,1.0,0.0,0.0,0.0,2
Sergio27101799,1.0,0.0,0.0,0.0,2
carlespgt,1.0,0.0,0.0,0.0,2
orlandomagic81,1.0,0.0,0.0,0.0,2
yopeone76,1.0,0.0,0.0,0.0,2
9610366Palomo,1.0,0.0,0.0,0.0,1
AMNISTIA2016,1.0,0.0,0.0,0.0,1
Ajame79Luis,1.0,0.0,0.0,0.0,1
AlbertoMrida8,1.0,0.0,0.0,0.0,1
AleMSagastume,1.0,0.0,0.0,0.0,1
Alejand19809867,1.0,0.0,0.0,0.0,1
Alex290621,1.0,0.0,0.0,0.0,1
AndyLuttin74903,1.0,0.0,0.0,0.0,1
Ang3scobar,1.0,0.0,0.0,0.0,1
Asael_Hernandz,1.0,0.0,0.0,0.0,1
Carlotadv,1.0,0.0,0.0,0.0,1
CerezoPompeyo,1.0,0.0,0.0,0.0,1
CesarTajin10,1.0,0.0,0.0,0.0,1
Ciudadanotopgt,1.0,0.0,0.0,0.0,1
Claudia8885247,1.0,0.0,0.0,0.0,1
Colocha_007,1.0,0.0,0.0,0.0,1
CremasTot2,1.0,0.0,0.0,0.0,1
Cristin30886707,1.0,0.0,0.0,0.0,1
Douglasandus,1.0,0.0,0.0,0.0,1
Ed8Sv,1.0,0.0,0.0,0.0,1
EdgarAjcip,1.0,0.0,0.0,0.0,1
EfrenESandoval1,1.0,0.0,0.0,0.0,1
Elbuenchapin_gt,1.0,0.0,0.0,0.0,1
Emanuelengt,1.0,0.0,0.0,0.0,1
Fernando_502GT,1.0,0.0,0.0,0.0,1
FigueroArlette,1.0,0.0,0.0,0.0,1
FijateBienGT,1.0,0.0,0.0,0.0,1
FranciscoRDL,1.0,0.0,0.0,0.0,1
GAHC1984,1.0,0.0,0.0,0.0,1
Geoneogt,1.0,0.0,0.0,0.0,1
GiancarloPGT,1.0,0.0,0.0,0.0,1
Handelman80,1.0,0.0,0.0,0.0,1
J_AlexValdez,1.0,0.0,0.0,0.0,1
Jfervalle,1.0,0.0,0.0,0.0,1
Jorge_albertora,1.0,0.0,0.0,0.0,1
Josehpmi87,1.0,0.0,0.0,0.0,1
JuanCarlosGuzm3,1.0,0.0,0.0,0.0,1
KerwinOgaldez,1.0,0.0,0.0,0.0,1
LimaJuanillo,1.0,0.0,0.0,0.0,1
MUNDOCREMA,1.0,0.0,0.0,0.0,1
ManoloAlexsand1,1.0,0.0,0.0,0.0,1
MarielosFu99091,1.0,0.0,0.0,0.0,1
Mauricio__Reyes,1.0,0.0,0.0,0.0,1
MirnaDeSoto1,1.0,0.0,0.0,0.0,1
NerySicaja,1.0,0.0,0.0,0.0,1
OrlandoPamal,1.0,0.0,0.0,0.0,1
Pedalearr,1.0,0.0,0.0,0.0,1
RafaelMrquez14,1.0,0.0,0.0,0.0,1
Ruff58723096,1.0,0.0,0.0,0.0,1
Trebor_GT,1.0,0.0,0.0,0.0,1
UlisesMarinez,1.0,0.0,0.0,0.0,1
VHMancilla,1.0,0.0,0.0,0.0,1
YadiD_Sanchez,1.0,0.0,0.0,0.0,1
YadiMonzon,1.0,0.0,0.0,0.0,1
Z3636M,1.0,0.0,0.0,0.0,1
_____DAS____,1.0,0.0,0.0,0.0,1
_cortaziana,1.0,0.0,0.0,0.0,1
aDiarioGT,1.0,0.0,0.0,0.0,1
ak94901,1.0,0.0,0.0,0.0,1
alfonso52067664,1.0,0.0,0.0,0.0,1
andrespaniagua_,1.0,0.0,0.0,0.0,1
anissette,1.0,0.0,0.0,0.0,1
belen_barillas,1.0,0.0,0.0,0.0,1
castelagro,1.0,0.0,0.0,0.0,1
cfmr85,1.0,0.0,0.0,0.0,1
chefy_ruano,1.0,0.0,0.0,0.0,1
cmzgt,1.0,0.0,0.0,0.0,1
darofacha,1.0,0.0,0.0,0.0,1
duaArmira,1.0,0.0,0.0,0.0,1
eddy_ecocharly,1.0,0.0,0.0,0.0,1
elsuperenterado,1.0,0.0,0.0,0.0,1
erwtech,1.0,0.0,0.0,0.0,1
fercastillo0902,1.0,0.0,0.0,0.0,1
firmeactitud,1.0,0.0,0.0,0.0,1
fjadlc,1.0,0.0,0.0,0.0,1
flinnryder31,1.0,0.0,0.0,0.0,1
gabbysq,1.0,0.0,0.0,0.0,1
gioes70,1.0,0.0,0.0,0.0,1
grismds,1.0,0.0,0.0,0.0,1
ivanmess,1.0,0.0,0.0,0.0,1
jsalazar86cho,1.0,0.0,0.0,0.0,1
juanca8733,1.0,0.0,0.0,0.0,1
juliochubc,1.0,0.0,0.0,0.0,1
labenyamina,1.0,0.0,0.0,0.0,1
landivarianos,1.0,0.0,0.0,0.0,1
lizygalindo,1.0,0.0,0.0,0.0,1
luisassardo,1.0,0.0,0.0,0.0,1
lulubert,1.0,0.0,0.0,0.0,1
mamezquitam,1.0,0.0,0.0,0.0,1
marisaguatemala,1.0,0.0,0.0,0.0,1
maxsantacruz68,1.0,0.0,0.0,0.0,1
maya25cardenas,1.0,0.0,0.0,0.0,1
memeescobar70,1.0,0.0,0.0,0.0,1
migm10r,1.0,0.0,0.0,0.0,1
muniguate,1.0,0.0,0.0,0.0,1
mvpitalia1,1.0,0.0,0.0,0.0,1
nopalMagico,1.0,0.0,0.0,0.0,1
piedelana502gt,1.0,0.0,0.0,0.0,1
pmaparicio,1.0,0.0,0.0,0.0,1
pobjetiva,1.0,0.0,0.0,0.0,1
qwerty4577,1.0,0.0,0.0,0.0,1
ricarcastaneda,1.0,0.0,0.0,0.0,1
satoshiconmoto,1.0,0.0,0.0,0.0,1
stevekazuo,1.0,0.0,0.0,0.0,1
superottoss,1.0,0.0,0.0,0.0,1
wasosigt,1.0,0.0,0.0,0.0,1
