source_user,source_user_id,target_user,interaction_type,tweet_id
traficogt,93938886,monymmorales,quote,1834236045598056867
monymmorales,976875408,cc_guatemala,mention,1834029142565658846
animaldgalaccia,1730828822029750272,pncdeguatemala,mention,1834039491826180424
animaldgalaccia,1730828822029750272,mingobguate,mention,1834039491826180424
animaldgalaccia,1730828822029750272,fjimenezmingob,mention,1834039491826180424
animaldgalaccia,1730828822029750272,diegoedeleon,mention,1834039491826180424
animaldgalaccia,1730828822029750272,amilcarmontejo,mention,1834039491826180424
animaldgalaccia,1730828822029750272,traficogt,mention,1834039491826180424
animaldgalaccia,1730828822029750272,pncdeguatemala,reply,1834039491826180424
estaciondoblea,1802661334355456000,amilcarmontejo,mention,1833963729136091179
estaciondoblea,1802661334355456000,aztecanoticiagt,mention,1833963729136091179
estaciondoblea,1802661334355456000,bancadasemilla,mention,1833963729136091179
estaciondoblea,1802661334355456000,barevalodeleon,mention,1833963729136091179
estaciondoblea,1802661334355456000,diputadojp,mention,1833963729136091179
estaciondoblea,1802661334355456000,emisorasunidas,mention,1833963729136091179
estaciondoblea,1802661334355456000,ep_investiga,mention,1833963729136091179
estaciondoblea,1802661334355456000,impactonoticigt,mention,1833963729136091179
estaciondoblea,1802661334355456000,lahoragt,mention,1833963729136091179
estaciondoblea,1802661334355456000,mingobguate,mention,1833963729136091179
estaciondoblea,1802661334355456000,prensacomunitar,mention,1833963729136091179
estaciondoblea,1802661334355456000,transito_mixco,mention,1833963729136091179
estaciondoblea,1802661334355456000,dgtguate,mention,1833963729136091179
estaciondoblea,1802661334355456000,pmt_villanueva,mention,1833963729136091179
estaciondoblea,1802661334355456000,infotransitogt,mention,1833963729136091179
estaciondoblea,1802661334355456000,traficogt,mention,1833963729136091179
estaciondoblea,1802661334355456000,pmt_sanjuansac,mention,1833963729136091179
estaciondoblea,1802661334355456000,pmtsanlucassac,mention,1833963729136091179
estaciondoblea,1802661334355456000,yenerplaza,mention,1833963729136091179
cubreserva,1155617398675988481,soy_502,mention,1833665391698092330
cubreserva,1155617398675988481,aztecanoticiagt,mention,1833665391698092330
cubreserva,1155617398675988481,conapgt,mention,1833665391698092330
cubreserva,1155617398675988481,denunciaempagua,mention,1833665391698092330
cubreserva,1155617398675988481,muniguate,mention,1833665391698092330
cubreserva,1155617398675988481,guatemalagob,mention,1833665391698092330
cubreserva,1155617398675988481,guatevision_tv,mention,1833665391698092330
cubreserva,1155617398675988481,pattyo502,mention,1833665391698092330
cubreserva,1155617398675988481,karinapazgt,mention,1833665391698092330
cubreserva,1155617398675988481,josechic86,mention,1833665391698092330
cubreserva,1155617398675988481,vecinosz16,mention,1833665391698092330
cubreserva,1155617398675988481,traficogt,mention,1833665391698092330
cubreserva,1155617398675988481,emisorasunidas,mention,1833665391698092330
cubreserva,1155617398675988481,ep_investiga,mention,1833665391698092330
cubreserva,1155617398675988481,isapaiz_,mention,1833665391698092330
alejandro2024gt,730220333576282112,amilcarmontejo,mention,1833664000220893559
alejandro2024gt,730220333576282112,pmtmuniguate,mention,1833664000220893559
alejandro2024gt,730220333576282112,noti7guatemala,mention,1833664000220893559
alejandro2024gt,730220333576282112,nuestrodiario,mention,1833664000220893559
alejandro2024gt,730220333576282112,t13noticias,mention,1833664000220893559
