id,date,conversationId,inReplyToTweetId,inReplyToUser,user,user_id,rawContent,lang,hashtags,cashtags,mentionedUsers_ids,mentionedUsers_usernames,media_photos_count,media_videos_count,media_animated_count,place,sourceLabel,replyCount,retweetCount,likeCount,quoteCount,bookmarkedCount,viewCount,quotedTweet_id,quotedTweet_date,quotedTweet_user_id,quotedTweet_user_username,rawContent_clean,community
1834236045598056867,2024-09-12 14:22:06+00:00,1834236045598056867,,,traficogt,93938886,Es comprensible la resolución... El ruso sabe de engrasar maquinaria.,es,,,,,0,0,0,,Twitter for Android,0,0,1,0,0,393.0,1.834029142565659e+18,2024-09-12 00:39:56+00:00,976875408.0,monymmorales,es comprensible la resolución... el ruso sabe de engrasar maquinaria.,2.0
1834029142565658846,2024-09-12 00:39:56+00:00,1834029142565658846,,,monymmorales,976875408,"La corrupción de la @CC_Guatemala
es descarada, falsificación de documentos y obligaron a extenderles DPI.
https://t.co/0J24ZCXJ2c",es,,,783345301256073216,CC_Guatemala,0,0,0,,Twitter for Android,0,56,84,4,1,1587.0,,,,,"la corrupción de la @cc_guatemala
es descarada, falsificación de documentos y obligaron a extenderles dpi.
https://t.co/0j24zcxj2c",3.0
1834039491826180424,2024-09-12 01:21:04+00:00,1834039491826180424,,PNCdeGuatemala,animaldgalaccia,1730828822029750272,"@PNCdeGuatemala @mingobguate @FJimenezmingob @diegoedeleon @amilcarmontejo @traficogt 

🚨🚨🚨🚨🚨",qme,,,"130315077,89030065,1744119413383598080,264999518,372126670,93938886","PNCdeGuatemala,mingobguate,FJimenezmingob,diegoedeleon,amilcarmontejo,traficogt",0,0,0,,Twitter for iPhone,0,0,1,0,0,91.0,,,,,"@pncdeguatemala @mingobguate @fjimenezmingob @diegoedeleon @amilcarmontejo @traficogt 

🚨🚨🚨🚨🚨",8.0
1833963729136091179,2024-09-11 20:20:01+00:00,1833963727575781534,1.8339637275757816e+18,EstacionDobleA,EstacionDobleA,1802661334355456000,@amilcarmontejo @AztecaNoticiaGT @BancadaSemilla @BArevalodeLeon @diputadojp @EmisorasUnidas @eP_investiga @ImpactoNoticiGT @lahoragt @mingobguate @PrensaComunitar @Transito_mixco @DGTguate @PMT_VILLANUEVA @InfoTransitoGt @traficogt @PMT_SanJuanSac @PMTSanLucasSac @YenerPlaza,qam,,,"372126670,221932544,1168163337521287168,945378369818058752,1710101239638147072,40256008,1767300056569315328,985701337911480322,168557941,89030065,257722705,1678445045425291264,2601316155,608213660,269417598,93938886,1385703566321532931,481334891,317375706","amilcarmontejo,AztecaNoticiaGT,BancadaSemilla,BArevalodeLeon,diputadojp,EmisorasUnidas,eP_investiga,ImpactoNoticiGT,lahoragt,mingobguate,PrensaComunitar,Transito_mixco,DGTguate,PMT_VILLANUEVA,InfoTransitoGt,traficogt,PMT_SanJuanSac,PMTSanLucasSac,YenerPlaza",0,0,0,,Twitter for Android,0,0,0,0,0,46.0,,,,,@amilcarmontejo @aztecanoticiagt @bancadasemilla @barevalodeleon @diputadojp @emisorasunidas @ep_investiga @impactonoticigt @lahoragt @mingobguate @prensacomunitar @transito_mixco @dgtguate @pmt_villanueva @infotransitogt @traficogt @pmt_sanjuansac @pmtsanlucassac @yenerplaza,
1833665391698092330,2024-09-11 00:34:31+00:00,1833664431084949711,1.8336644310849498e+18,CubReserva,CubReserva,1155617398675988481,"@soy_502 @AztecaNoticiaGT @CONAPgt @DenunciaEMPAGUA @muniguate @GuatemalaGob @Guatevision_tv @pattyo502 @karinapazGt @Josechic86 @vecinosz16 URGENTE zona 16 en deterioro por  tala inmoderada, el tráfico es desesperante @traficogt @EmisorasUnidas @eP_investiga @IsaPaiz_",es,,,"1687984068,221932544,1320661748,1474213123544469523,94355727,495102115,43971175,4353722955,46398081,1545610440780169216,1831093180407627776,93938886,40256008,1767300056569315328,128738653","soy_502,AztecaNoticiaGT,CONAPgt,DenunciaEMPAGUA,muniguate,GuatemalaGob,Guatevision_tv,pattyo502,karinapazGt,Josechic86,vecinosz16,traficogt,EmisorasUnidas,eP_investiga,IsaPaiz_",0,0,0,,Twitter for Android,0,0,1,0,0,171.0,,,,,"@soy_502 @aztecanoticiagt @conapgt @denunciaempagua @muniguate @guatemalagob @guatevision_tv @pattyo502 @karinapazgt @josechic86 @vecinosz16 urgente zona 16 en deterioro por  tala inmoderada, el tráfico es desesperante @traficogt @emisorasunidas @ep_investiga @isapaiz_",
1833664000220893559,2024-09-11 00:29:00+00:00,1833664000220893559,,amilcarmontejo,Alejandro2024gt,730220333576282112,"@amilcarmontejo @PMTMuniGuate @Noti7Guatemala @NuestroDiario @T13Noticias @AztecaGuate @traficogt hay avenidas y calles (11 avenida 8 a la 12 calle) sin luz, semáforo y sin agentes de emetra .",es,,,"372126670,526921529,151154260,51154192,112886016,331955131,93938886","amilcarmontejo,PMTMuniGuate,Noti7Guatemala,NuestroDiario,T13Noticias,AztecaGuate,traficogt",0,0,0,,Twitter for Android,0,0,0,0,0,58.0,,,,,"@amilcarmontejo @pmtmuniguate @noti7guatemala @nuestrodiario @t13noticias @aztecaguate @traficogt hay avenidas y calles (11 avenida 8 a la 12 calle) sin luz, semáforo y sin agentes de emetra .",
1833611884664156200,2024-09-10 21:01:54+00:00,1833611884664156200,,,JulyPonce21,3012525020,"Favor compartir  
El vive el zona 7 Bethania 
@traficogt @amilcarmontejo @PNCdeGuatemala #urgente #Desaparecido https://t.co/LcIJv0Ffsj",es,"urgente,Desaparecido",,"93938886,372126670,130315077","traficogt,amilcarmontejo,PNCdeGuatemala",1,0,0,,Twitter for Android,0,0,0,1,0,92.0,,,,,"favor compartir  
el vive el zona 7 bethania 
@traficogt @amilcarmontejo @pncdeguatemala #urgente #desaparecido https://t.co/lcijv0ffsj",
1833538957847761270,2024-09-10 16:12:07+00:00,1833538957847761270,,traficogt,CubReserva,1155617398675988481,@traficogt @_ojoconmipisto @soy_502 @AztecaNoticiaGT @AztecaNoticiaGT @muniguate @CONAPgt @DenunciaEMPAGUA @EmisorasUnidas @eP_investiga @luisvengt @samuel_pz @Josechic86 @CiudadCayala @marnguate @karinapazGt @vecinosz16 es importante ponerle atención a los vecinos de z 16 https://t.co/vRDMtvj36F,es,,,"93938886,1915801717,1687984068,221932544,221932544,94355727,1320661748,1474213123544469523,40256008,1767300056569315328,1323798164,338653885,1545610440780169216,1278112748241653760,498970290,46398081,1831093180407627776","traficogt,_ojoconmipisto,soy_502,AztecaNoticiaGT,AztecaNoticiaGT,muniguate,CONAPgt,DenunciaEMPAGUA,EmisorasUnidas,eP_investiga,luisvengt,samuel_pz,Josechic86,CiudadCayala,marnguate,karinapazGt,vecinosz16",0,1,0,,Twitter for Android,0,1,2,0,0,146.0,,,,,@traficogt @_ojoconmipisto @soy_502 @aztecanoticiagt @aztecanoticiagt @muniguate @conapgt @denunciaempagua @emisorasunidas @ep_investiga @luisvengt @samuel_pz @josechic86 @ciudadcayala @marnguate @karinapazgt @vecinosz16 es importante ponerle atención a los vecinos de z 16 https://t.co/vrdmtvj36f,
1833482764139516067,2024-09-10 12:28:50+00:00,1833149672602366205,1.833163073567249e+18,piero_coen,AlexDeL92022343,1311834124450172928,@piero_coen @FJimenezmingob @traficogt @mingobguate @PNCdeGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob Son pajas la mota ahora ya no vale nada,es,,,"2460672423,1744119413383598080,93938886,89030065,130315077,260318585,235332308,145724847,495102115","piero_coen,FJimenezmingob,traficogt,mingobguate,PNCdeGuatemala,DiariodeCA,AGN_noticias,Radio_TGW,GuatemalaGob",0,0,0,,Twitter for Android,0,0,0,0,0,101.0,,,,,@piero_coen @fjimenezmingob @traficogt @mingobguate @pncdeguatemala @diariodeca @agn_noticias @radio_tgw @guatemalagob son pajas la mota ahora ya no vale nada,
1833369023083360262,2024-09-10 04:56:52+00:00,1833149672602366205,1.833165720688935e+18,erwin_fern84019,Bullgarrafuerte,1747398811792687104,"@erwin_fern84019 @piero_coen @FJimenezmingob @traficogt @mingobguate @PNCdeGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob ayyyy te arde que fumen mota, mejor segui chimando bebes.",es,,,"1816584656868831234,2460672423,1744119413383598080,93938886,89030065,130315077,260318585,235332308,145724847,495102115","erwin_fern84019,piero_coen,FJimenezmingob,traficogt,mingobguate,PNCdeGuatemala,DiariodeCA,AGN_noticias,Radio_TGW,GuatemalaGob",0,0,0,,Twitter Web App,0,0,0,0,0,81.0,,,,,"@erwin_fern84019 @piero_coen @fjimenezmingob @traficogt @mingobguate @pncdeguatemala @diariodeca @agn_noticias @radio_tgw @guatemalagob ayyyy te arde que fumen mota, mejor segui chimando bebes.",
1833297291127476341,2024-09-10 00:11:49+00:00,1833295367493828798,1.8332953674938289e+18,luisficarpediem,dbeatrizmb,3303444667,@luisficarpediem @traficogt Trabajo tiene la muerte con la plaga de motoristas.,es,,,"33607101,93938886","luisficarpediem,traficogt",0,0,0,,Twitter for iPhone,0,0,0,0,0,98.0,,,,,@luisficarpediem @traficogt trabajo tiene la muerte con la plaga de motoristas.,2.0
1833295367493828798,2024-09-10 00:04:11+00:00,1833295367493828798,,,luisficarpediem,33607101,Muy oportuno ahora que estoy en el @traficogt https://t.co/4PSuCAgK2g,es,,,93938886,traficogt,1,0,0,,Twitter for iPhone,1,1,4,0,0,249.0,,,,,muy oportuno ahora que estoy en el @traficogt https://t.co/4psucagk2g,2.0
1833230834649993598,2024-09-09 19:47:45+00:00,1833230834649993598,,,traficogt,93938886,"Los corruptos rescatando lo que se les había perdido.  Y SI, los jueces y magistrados deben ser responsables de sus actos.",es,,,,,0,0,0,,Twitter for Android,0,35,73,0,0,3058.0,1.8332287299776105e+18,2024-09-09 19:39:23+00:00,257722705.0,PrensaComunitar,"los corruptos rescatando lo que se les había perdido.  y si, los jueces y magistrados deben ser responsables de sus actos.",2.0
1833228729977610428,2024-09-09 19:39:23+00:00,1833228729977610428,,,PrensaComunitar,257722705,"#URGENTE 🚨 Nuevo juez de extinción de dominio resuelve a favor de Giovanni Orellana

EL juez Jaime Delmar González niega la solicitud para que el apartamento entregado a Eddy Orellana por un supuesto “amaño de Cortes” pase a favor del Estado.

📸 Prensa Comunitaria https://t.co/eHj6sWQEW0",es,URGENTE,,,,1,0,0,,Twitter for iPhone,19,85,68,13,3,10656.0,,,,,"#urgente 🚨 nuevo juez de extinción de dominio resuelve a favor de giovanni orellana

el juez jaime delmar gonzález niega la solicitud para que el apartamento entregado a eddy orellana por un supuesto “amaño de cortes” pase a favor del estado.

📸 prensa comunitaria https://t.co/ehj6swqew0",
1833171131727032574,2024-09-09 15:50:31+00:00,1833149672602366205,1.833163073567249e+18,piero_coen,sor_monroy,942309354,@piero_coen @FJimenezmingob @traficogt @mingobguate @PNCdeGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob Medicinal 🤣🤣,es,,,"2460672423,1744119413383598080,93938886,89030065,130315077,260318585,235332308,145724847,495102115","piero_coen,FJimenezmingob,traficogt,mingobguate,PNCdeGuatemala,DiariodeCA,AGN_noticias,Radio_TGW,GuatemalaGob",0,0,0,,Twitter for Android,0,0,1,0,0,283.0,,,,,@piero_coen @fjimenezmingob @traficogt @mingobguate @pncdeguatemala @diariodeca @agn_noticias @radio_tgw @guatemalagob medicinal 🤣🤣,8.0
