user,user_id,user_displayname,user_rawDescription,user_created,user_followersCount,user_favouritesCount,user_listedCount,user_mediaCount,user_location,user_protected,user_verified,user_blue,user_blueType,user_descriptionLinks,user_pinnedIds
traficogt,93938886,traficogt,noticias de ciudad de guatemala,2009-12-01 20:42:19+00:00,314368,3471,291,1292,guatemala,False,False,False,NA,0,NA
monymmorales,976875408,mony,iglesia y estado son asunto separado católica pero su corazón siempre me recordó,2012-11-28 20:16:36+00:00,5502,274770,24,16644,guatemala frijolandia,False,False,False,NA,0,1794803010935431424
animaldgalaccia,1730828822029750272,jairo de la nada,sancarlista estudiante de filosofía ideológicamente socialista liberal en construcción columnista en fgermaya kat opiniones personales,2023-12-02 05:58:56+00:00,571,25257,2,1013,macondo,False,False,False,NA,1,1830424083143512576
estaciondoblea,1802661334355456000,estación doble a,si no ayuda no estorbe y no chingue,2024-06-17 11:16:06+00:00,18,30,0,11,NA,False,False,False,NA,0,NA
cubreserva,1155617398675988481,cub reserva kanajuyu z 16,preocupados por el medio ambiente somos una reserva ecológica y pulmón de la ciudad,2019-07-28 23:13:52+00:00,170,326,0,75,NA,False,False,False,NA,0,NA
alejandro2024gt,730220333576282112,alejandro alvarez,NA,2016-05-11 02:17:49+00:00,2,4,0,101,NA,False,False,False,NA,0,NA
julyponce21,3012525020,negrocorazón,NA,2015-02-07 15:53:17+00:00,208,32741,0,353,NA,False,False,False,NA,0,1414027750357229568
alexdel92022343,1311834124450172928,lanaranjamecanica,nativo de san goloteo el chiquito experto en irme a la chingada antes que me lo tengan que pedir,2020-10-02 01:03:54+00:00,656,7604,1,3647,guatemala,False,False,False,NA,0,1580392961195462656
bullgarrafuerte,1747398811792687104,josé aldana,NA,2024-01-16 23:22:01+00:00,1,246,0,1,guatemala,False,False,False,NA,0,NA
dbeatrizmb,3303444667,dora beatriz molina,NA,2015-08-01 14:01:39+00:00,1320,571540,8,41,NA,False,False,False,NA,0,NA
luisficarpediem,33607101,luis figueroa,periodista objetivista por la libertad y la razón,2009-04-20 18:18:11+00:00,5007,33470,92,4453,guatemala,False,False,True,NA,1,NA
prensacomunitar,257722705,prensa comunitaria km169,agencia de noticias desde las ciencias sociales periodismo comunitario e indígena arte y feminismos contamos la realidad desde nuestras propias narrativas,2011-02-26 01:30:17+00:00,98416,22056,530,72237,guatemala,False,False,True,NA,1,NA
sor_monroy,942309354,juaquin,soy chapín a mucho orgullo,2012-11-11 21:57:18+00:00,117,12118,1,520,NA,False,False,False,NA,0,NA
mmiaumersons,889303115710836736,rafa,NA,2017-07-24 01:56:00+00:00,127,21548,3,493,NA,False,False,False,NA,0,NA
erwin_fern84019,1816584656868831234,erwin fernández,NA,2024-07-25 21:22:04+00:00,3,3927,0,151,NA,False,False,False,NA,0,NA
rivera_bambu,103742299,belcebú,ante dios y el mundo tengo que hacer prevalecer mi voluntad,2010-01-11 03:21:57+00:00,261,29923,0,197,cuna de la corrupción guate,False,False,False,NA,0,NA
piero_coen,2460672423,piero coen ⚡️,helping latinos access financial services through cofounder,2014-04-04 19:32:24+00:00,1993,12314,34,85,latam,False,False,True,NA,1,1404983429968564224
contreras_tani,3160454737,tania contreras,NA,2015-04-17 03:02:02+00:00,44,2301,0,346,NA,False,False,False,NA,0,NA
express_foto,723873907,el express,noticias de tu municipio mixcovilla nuevapetapavilla canalesfraijanes amatitlanescuintla antigua guatemala y clubes de motocicletas y más,2012-07-29 11:52:48+00:00,4391,2104,29,19374,guatemala,False,False,False,NA,1,NA
elmerlandazuri7,1822024509375049731,elmerisback🔴,elmer is back again cristiano guatemalteco empresarioopinologo memeristans defensor de los derechos humanos,2024-08-09 21:38:18+00:00,61,1975,0,378,mejico,False,False,False,NA,0,1825914107687547136
molinerosed,2224026458,edgar molineros,NA,2013-12-01 01:55:57+00:00,69,36406,1,57,NA,False,False,False,NA,0,NA
jul_sando_1962,1535855283850776576,julia sandoval,NA,2022-06-12 05:24:13+00:00,515,152916,1,603,NA,False,False,False,NA,0,NA
sonny_figueroa,87101238,sonny figueroa,periodista fundador de y,2009-11-03 03:42:34+00:00,75932,1608,119,1477,guatemala,False,False,True,NA,1,1653080147203964928
eeliezer1985,3313756851,yopi,NA,2015-06-08 19:53:55+00:00,6,98,0,5,NA,False,False,False,NA,0,NA
gigantedecolch,896567204266770434,gigantedecolchones,tel gigantedecolchonescom,2017-08-13 03:00:53+00:00,30,160,0,48,hondurasgt,False,False,False,NA,1,NA
viniciogutierr3,2500782616,vinicio gutierrez,apasionado por la comunicación csd municipal cuenta personal,2014-04-22 00:58:08+00:00,11926,15536,37,8070,guatemala,False,False,False,NA,0,NA
arthurshp_wf,1467115318149529602,arthur sh.,rock filosofía programación,2021-12-04 12:55:39+00:00,25,1184,1,470,NA,False,False,False,NA,0,1721723569590141440
carlosrkestler,1674409940,carlos kestler,hago periodismo en fellow alumni young journalist award runnerup españolenglish,2013-08-16 00:44:27+00:00,6722,10010,17,810,guatemala,False,False,True,NA,1,1597394845105934336
vir129,371901619,virginia de leon,guatemalteca runner y veterinaria antigua baseball y cafe es lo mio,2011-09-11 18:47:03+00:00,331,4870,0,483,guatemala,False,False,False,NA,0,NA
bayronortega68,1323748334,brosa,NA,2013-04-03 03:09:22+00:00,12,436,1,11,guatemala,False,False,False,NA,0,NA
ep_investiga,1767300056569315328,ep investiga,hacemos periodismo como un ejercicio democrático y de transparencia que busca incansablemente llegar a la verdad de los hechos con un enfoque crítico,2024-03-11 21:23:12+00:00,13348,175,25,1931,guatemala,False,False,True,NA,1,1826069610946273536
ricigt1,1168656310751191042,ricigt,red de información contra la impunidad en guatemala,2019-09-02 22:46:03+00:00,31593,3934,96,8261,NA,False,False,True,NA,1,1664642791916417024
cbastiancruz,3743727432,cbastian cruz,NA,2015-10-01 03:45:57+00:00,52,3455,0,1819,guatemala guatemala,False,False,False,NA,0,NA
mlopezguate,357860767,mario,esposo padre amigo informatico fan del futbol musica rock gadgets me gusta cocinar y los nuevos retos,2011-08-19 00:56:29+00:00,47,889,0,101,guatemala,False,False,False,NA,0,NA
arkmazariegos,40911495,ark. armando mazariegos ©,todo lo q debo saber lo aprendí de mi,2009-05-18 16:47:42+00:00,384,14163,1,1682,guatemala,False,False,False,NA,0,NA
oco_motora,3365924892,puro frijol,erradicar la pobreza no es un acto de caridad es un acto de justicia nelson mandela,2015-08-28 02:46:23+00:00,6194,167888,6,3583,villa nueva guatemala,False,False,True,NA,0,1831493236499890432
lahoragt,168557941,diario la hora,somos un medio de comunicación veraz y responsable único vespertino de guatemala desde,2010-07-20 06:40:23+00:00,558361,706,1028,97518,guatemala,False,False,True,NA,1,1834227799034409216
jpablo998af,1470400596796751883,jp,viajar,2021-12-13 14:31:12+00:00,87,817,0,78,NA,False,False,False,NA,0,NA
edvin111956,1818817483459211264,edvin,NA,2024-08-01 01:15:08+00:00,13,1188,0,127,NA,False,False,False,NA,0,NA
eddyarredondo23,1633138526874116097,eddy arredondo,santarroseño viviendo en la capital buscando una guatemala libre del progresismo y de lo oculto de la agenda,2023-03-07 16:12:34+00:00,42,1574,0,52,guatemala,False,False,False,NA,0,NA
ed8sv,1821807105470558208,esa,NA,2024-08-09 07:14:07+00:00,5,114,0,5,NA,False,False,False,NA,0,NA
marco06ruiz,390401921,marco tulio ruiz,auditor y asesor fiscal músico técnico de sonido y catedrático,2011-10-13 22:44:37+00:00,155,75152,0,3178,guatemala,False,False,False,NA,0,NA
discosbeagle,1540479677973807108,discos beagle,NA,2022-06-24 23:39:22+00:00,3540,44889,2,3873,antigua guatemala,False,False,False,NA,1,1694076928238493952
bernardocaal2,1224380605145735168,bernardo caal,soy bernardo caal xol maya qeqchi estoy sentenciado a años y meses de prisión por delitos que me fabricaron por defender el en guatemala,2020-02-03 17:14:47+00:00,6751,2668,27,1766,NA,False,False,False,NA,0,NA
prensa_libre,38687143,prensa libre,somos el diario líder de guatemala suscríbase únase a telegram,2009-05-08 15:38:38+00:00,1685961,348,3279,319631,guatemala,False,False,True,NA,3,NA
aztecanoticiagt,221932544,azteca noticias gt,twitter oficial de azteca noticias guatemala mira nuestras emisiones am pm pm y pm por,2010-12-02 00:51:24+00:00,531714,1131,825,58307,guatemala,False,False,True,NA,1,NA
mariochiu2,1131012993536405504,mario chiu,por una guatemala mejor vamos con todo,2019-05-22 01:44:45+00:00,840,529250,0,11115,NA,False,False,False,NA,0,NA
pastorajcastro,874840226,jeannette de castro,NA,2012-10-12 03:15:51+00:00,204,118616,0,37,NA,False,False,False,NA,0,NA
efonseca2841,3423428627,eduardo fonseca,NA,2015-08-15 04:20:28+00:00,8,25,0,3,NA,False,False,False,NA,0,NA
marinae41953239,1089288335384813569,marina elizabeth garcia,NA,2019-01-26 22:25:51+00:00,5,1128,0,11,NA,False,False,False,NA,0,1192102283611377664
hecch,130530279,hugo castañeda,NA,2010-04-07 15:18:19+00:00,1156,48290,2,220,NA,False,False,False,NA,0,NA
guillepefe2012,980635722,guillermo pérez fernández,la violencia es el último recurso del incompetente isaac asimov,2012-11-30 15:10:51+00:00,1602,171561,3,6981,guatemala,False,False,False,NA,1,NA
florydeprez2,3432776052,flow,mi primer pensamiento al despertar dios,2015-09-03 03:50:59+00:00,195,10235,0,1496,rosa santa,False,False,False,NA,0,1263999245683773440
ttrezz777,268894350,trex ℹ️,relájese twitter es pura parodia,2011-03-19 17:52:58+00:00,175,16717,0,760,NA,False,False,False,NA,0,1239430591948480512
kiluluki,1625547320,@alch,NA,2013-07-27 14:01:47+00:00,43,5221,0,184,NA,False,False,False,NA,0,NA
julioca75923080,1675556059644043264,julio castellanos,NA,2023-07-02 17:25:12+00:00,5,460,0,0,NA,False,False,False,NA,0,NA
mesas752066,1683991765294915586,mesías,observador y crítico,2023-07-26 00:05:20+00:00,37,26,0,15,allá,False,False,False,NA,0,NA
diegooliva95,567613918,oliva,NA,2012-04-30 22:26:12+00:00,53,133,0,59,NA,False,False,False,NA,0,NA
fabycalderon11,401029028,fabiola calderon,si eres capaz de sentirte feliz cuando estas solo haz aprendido el secreto de la felicidad,2011-10-29 23:08:39+00:00,37,4296,0,91,NA,False,False,False,NA,0,NA
krystap33861,1711439190208999424,yadhira garcia,NA,2023-10-09 17:51:41+00:00,10,6,0,8,NA,False,False,False,NA,0,NA
ldubon63,2732768727,jose luis dubon,NA,2014-08-03 21:54:42+00:00,3,92,0,1,NA,False,False,False,NA,0,NA
erickpinaleshou,1420529993856204801,erick pinales,pesimus prime,2021-07-28 23:42:13+00:00,93,3598,0,2994,NA,False,False,False,NA,0,NA
vhcb,52448814,vhcb,sueño con mi guate prospera justa y libre de corrupción,2009-06-30 16:56:17+00:00,215,49867,2,93,NA,False,False,False,NA,0,NA
batallonjalapa,736952671,batallonjalapa,NA,2012-08-04 15:50:05+00:00,50,6386,0,11,NA,False,False,False,NA,0,NA
aacn75,771257970,anibal cruz,trabajando duro en república dominicana,2012-08-21 10:35:12+00:00,61,6202,0,112,santo domingo,False,False,False,NA,0,NA
noti_atlantico,1032020094237466624,noticias del atlántico,todo lo acontecido en lo encontraras aquí noticias reportes del tráfico accidentes denuncias etc,2018-08-21 21:42:19+00:00,30928,891,60,12255,guatemala,False,False,False,NA,1,1639425774389215232
cedr2506,2518144531,cedr,NA,2014-05-23 15:48:43+00:00,231,62979,0,588,NA,False,False,False,NA,0,NA
papaabumario,1679782717,papaabu,NA,2013-08-18 03:41:22+00:00,807,32357,1,1869,NA,False,False,False,NA,0,NA
enrique51859338,1213239988172681217,jorge lemus,dios es amor,2020-01-03 23:25:43+00:00,1340,136269,3,772,NA,False,False,False,NA,0,NA
gersonbarrera,80317682,gerson barrera,que todo lo bonito llegue para quedarse,2009-10-06 14:40:50+00:00,355,190832,0,2098,new jersey usa,False,False,False,NA,1,NA
oracintfaith,51896224,ax 📱,ideologícamente cristiano y conservador derecha ni a favor ni en contra solo lo contrario mi opinión en esta red la doy por qué nadie me la pidió,2009-06-29 00:30:24+00:00,160,13911,1,418,NA,False,False,False,NA,0,NA
joffar28,578412359,jorge figueroa,NA,2012-05-12 21:34:14+00:00,83,2159,1,404,guatemala,False,False,False,NA,0,NA
